# word	AvgPosScore	AvgNegScore
pucciniaceae	0.125	0.0
superiority	0.5625	0.0
glamor	0.625	0.0
glossodynia	0.0	0.625
goosey	0.25	0.375
antiprotozoal	0.0	0.125
satisfactory	0.3125	0.0625
tuille	0.0	0.125
grub	0.3125	0.125
underweight	0.375	0.125
demeaning	0.0	0.625
complementarity	0.125	0.0
divine	0.416666666667	0.0625
convallariaceae	0.0	0.625
inflexibility	0.0625	0.625
sajama	0.125	0.0
transmutation	0.125	0.0
squabble	0.0	0.1875
indefeasible	0.0	0.75
disparaging	0.0	0.75
imaginativeness	0.0	0.375
freeloader	0.125	0.0
prepared	0.375	0.0
dyslexia	0.375	0.0
exasperating	0.0625	0.5625
bimodal	0.125	0.0
hopkins	0.125	0.0
unmannerly	0.0	0.625
menacingly	0.25	0.0
incognoscible	0.0	0.5
rumpus	0.0	0.25
sonority	0.5	0.125
sensitively	0.25	0.0
perturbed	0.0	0.125
unpractised	0.0	0.5
anarchically	0.25	0.0
antidote	0.0	0.125
stingily	0.375	0.0
ineffable	0.25	0.0
lively	0.4375	0.0625
conceptually	0.125	0.0
bubbly	0.208333333333	0.208333333333
gleam	0.125	0.0
sedulity	0.625	0.125
unassured	0.25	0.25
xeroma	0.0	0.125
mindless	0.175	0.4
sealed	0.0625	0.25
bubble	0.0	0.1875
wits	0.125	0.0
kotow	0.125	0.0
recalcitrance	0.25	0.0
abused	0.1875	0.375
pull	0.0416666666667	0.208333333333
rush	0.0625	0.166666666667
rage	0.160714285714	0.25
pule	0.0	0.25
tripe	0.125	0.0
chlamydospore	0.0	0.125
dirty	0.078125	0.5625
abuser	0.0	0.25
pulp	0.0	0.5
rust	0.0	0.25
embitterment	0.125	0.125
gratuitous	0.125	0.5
watcher	0.25	0.0
substantially	0.125	0.0
plangent	0.25	0.125
hypertension	0.25	0.0
formulation	0.0	0.375
tremble	0.0	0.375
magniloquent	0.375	0.25
cream	0.1875	0.0
leucotomy	0.25	0.0
keratoplasty	0.375	0.375
morganite	0.125	0.0
yogi	0.125	0.0
sympathetically	0.375	0.0
azymia	0.0	0.5
introspection	0.125	0.0
malodourous	0.0	0.875
unparalleled	0.375	0.0
vizsla	0.125	0.0
tayassu	0.0	0.25
palmately	0.5	0.0
sensify	0.125	0.0
gillie	0.0	0.5
retral	0.0	0.5
sheepishly	0.25	0.0
hairsplitting	0.5625	0.0
brotherhood	0.0	0.375
ideograph	0.0	0.125
infirmity	0.25	0.0
tricky	0.333333333333	0.416666666667
radiopaque	0.0	0.625
thorn	0.0625	0.1875
maliciously	0.0	0.625
dissentious	0.0	0.5
dyed	0.0	0.5
traitorously	0.25	0.0
